Brand,Engine_Displacement,Fuel_Type,Insurance,Kms_Driven,Location,Model,Ownership,Price,Registration_Year,Seats,Transmission
19,998.0,0,0,69638,10,1864,1,455000.0,2020,5,1
19,1462.0,4,0,64117,10,377,3,520000.0,2018,5,1
0,1968.0,1,0,48600,10,109,3,1950000.0,2016,5,0
9,1497.0,4,0,70336,10,442,1,575000.0,2018,5,1
9,1497.0,4,1,90000,10,402,1,375000.0,2013,5,1
9,1497.0,4,0,70000,10,428,3,699000.0,2017,5,0
10,998.0,4,0,35258,10,1777,1,726000.0,2019,5,1
18,1197.0,4,0,14900,10,1975,1,1025000.0,2021,5,0
28,999.0,2,0,18000,10,1148,1,1045000.0,2021,5,0
26,999.0,4,1,59680,10,1049,1,625000.0,2022,5,1
19,998.0,0,2,45443,10,1869,1,379000.0,2018,5,1
0,1968.0,1,0,52000,10,84,1,1251000.0,2014,5,0
19,998.0,4,0,66113,10,1866,1,395000.0,2016,5,0
26,1461.0,1,0,75000,10,587,3,699000.0,2016,5,1
27,1598.0,4,0,34394,10,1313,1,624000.0,2017,5,1
15,1999.0,1,1,44847,10,571,1,4745000.0,2021,7,0
21,2925.0,1,1,44000,10,49,1,11000000.0,2021,7,0
10,1591.0,4,2,117201,10,530,1,700000.0,2016,5,1
18,2489.0,1,0,95000,10,2027,1,370000.0,2015,7,1
17,1498.0,4,0,30500,10,231,1,1175000.0,2022,5,0
19,1248.0,1,0,27300,10,1846,1,825000.0,2018,5,0
18,2179.0,1,0,92000,10,1986,3,795000.0,2017,7,1
10,1197.0,4,3,33449,10,2108,1,425000.0,2016,5,1
21,2987.0,1,0,65000,10,49,3,4775000.0,2017,7,0
21,1796.0,4,0,86000,10,608,1,1199000.0,2013,5,0
29,2494.0,4,1,53312,10,313,3,1190000.0,2015,5,0
19,1197.0,4,0,65940,10,249,3,442000.0,2018,5,0
10,1591.0,4,3,70965,10,522,1,894000.0,2019,5,0
17,1451.0,4,1,43650,10,894,1,1600000.0,2022,5,0
10,1197.0,4,1,33000,10,829,1,498000.00000000006,2016,5,0
21,1991.0,4,0,71000,10,294,1,1650000.0,2015,5,0
15,2179.0,1,1,86890,10,1290,4,1700000.0,2013,5,0
14,1493.0,1,1,11700,10,1486,3,1775000.0,2022,5,0
24,1498.0,4,0,36000,10,1523,3,330000.0,2014,5,0
30,1198.0,4,2,62000,10,1204,1,425000.0,2015,5,1
10,1493.0,1,0,12000,10,127,1,1920000.0,2022,7,0
19,1248.0,1,0,59000,10,1572,1,435000.0,2013,5,1
10,1353.0,4,1,29500,10,550,1,1600000.0,2021,5,0
19,1197.0,4,1,62108,10,252,3,406000.0,2016,5,1
19,1373.0,4,0,87235,10,696,3,535000.0,2013,7,1
30,1197.0,4,1,79032,10,1220,1,525000.0,2015,5,0
19,1462.0,4,0,42500,10,375,1,875000.0,2020,5,0
28,1199.0,4,3,39558,10,1691,1,407000.0,2018,5,1
10,1591.0,4,0,72000,10,526,1,835000.0,2017,5,0
29,2494.0,1,0,87000,10,935,3,545000.0,2011,8,1
9,1198.0,4,2,75000,10,184,1,295000.0,2014,5,1
9,1199.0,4,0,54767,10,985,1,645000.0,2018,5,0
19,1197.0,4,0,58000,10,1575,1,399000.0,2013,5,1
14,1353.0,4,0,9000,10,1467,1,1735000.0000000002,2022,5,0
1,1995.0,1,0,42000,10,1897,1,2595000.0,2018,5,0
30,1498.0,1,2,60759,10,219,3,539000.0,2019,5,0
29,1496.0,4,1,27210,10,711,1,325000.0,2011,5,1
24,1498.0,4,0,27000,10,1523,1,365000.0,2014,5,0
21,2987.0,1,1,93999,10,42,1,3400000.0,2015,7,0
29,2494.0,1,0,118000,10,936,1,894999.9999999999,2014,7,1
19,998.0,4,1,15344,10,1379,1,407000.0,2021,5,0
19,1248.0,1,1,45000,10,1846,1,844999.9999999999,2018,5,0
12,1999.0,1,0,35000,10,1945,3,1925000.0,2017,5,0
19,1197.0,4,1,56000,10,250,1,625000.0,2018,5,1
30,1197.0,4,0,72000,10,1220,1,695000.0,2017,5,0
15,2993.0,1,1,62000,10,1296,1,8999000.0,2019,5,0
19,998.0,4,1,11381,10,357,1,625000.0,2022,5,1
18,1497.0,1,1,29183,10,1974,1,995000.0,2021,5,1
9,1498.0,1,0,74686,10,201,1,585000.0,2018,5,0
1,1995.0,1,1,91000,10,1908,1,2099000.0,2017,5,0
17,1451.0,4,1,12900,10,880,1,1795000.0,2022,6,0
27,1798.0,4,0,99000,10,1532,3,400000.0,2012,5,0
10,1186.0,1,0,59982,10,817,1,565000.0,2017,5,1
21,1950.0,1,2,30000,10,726,1,4199000.0,2019,5,0
8,1196.0,4,0,49000,10,756,3,499000.0,2018,5,1
10,1493.0,1,1,36000,10,547,3,1795000.0,2022,5,0
19,1197.0,4,1,81000,10,1583,1,425000.0,2013,5,1
9,1199.0,4,1,53000,10,201,1,645000.0,2018,5,0
10,1197.0,4,0,45322,10,831,1,356000.0,2015,5,1
19,1373.0,4,1,64000,10,390,1,515000.00000000006,2014,5,1
8,1497.0,4,1,15100,10,637,1,775000.0,2019,5,1
19,998.0,4,0,46436,10,358,4,375000.0,2018,5,0
19,1462.0,4,1,17710,10,1844,1,1050000.0,2021,5,0
1,2993.0,1,0,54100,10,70,1,2350000.0,2015,5,0
28,1199.0,4,1,58000,10,1667,1,425000.0,2017,5,0
15,4367.0,1,1,121000,10,1299,1,1475000.0,2012,7,0
9,1497.0,4,1,22708,10,439,1,894999.9999999999,2019,5,0
1,1995.0,1,0,54000,10,14,3,1689999.9999999998,2017,5,0
10,1591.0,4,0,46000,10,531,3,750000.0,2017,5,1
9,1199.0,4,0,18093,10,1857,1,794000.0,2021,5,1
28,1199.0,4,2,2228,10,1686,1,690000.0,2023,5,0
9,1997.0,4,3,60016,10,310,1,1425000.0,2019,5,0
19,1373.0,4,0,58000,10,370,3,545000.0,2017,5,1
27,1498.0,1,0,65000,10,1317,3,395000.0,2014,5,0
28,1373.0,2,0,35000,10,1149,1,990000.0,2022,5,0
19,1373.0,4,2,104705,10,372,1,418000.0,2015,5,0
19,998.0,0,2,72000,10,1869,1,335000.0,2014,5,1
19,998.0,4,0,36218,10,359,1,395000.0,2016,5,0
27,1798.0,4,1,48000,10,1535,1,1895000.0,2019,5,0
21,2143.0,1,1,68000,10,1086,3,2100000.0,2014,5,0
